coherence,incidence_angle,bare_earth_dem,vegetation_ht,unwrapped_phase,snow_depth
0.5791783630847931,0.9489136934280396,3048.159,0.0,-7.6927878856658936,1.319504
0.5645706653594971,0.9468928575515747,3046.989,0.0,-8.000650405883789,1.2162325
0.7017212212085724,1.0011804103851318,3063.148,0.0,-7.64130163192749,1.0204318
0.43190424144268036,0.7534518539905548,2963.084,9.100586,-7.756969213485718,1.1464083
0.7463694214820862,0.8721602261066437,3015.573,0.0,-8.423515319824219,0.814133
0.6483979821205139,0.9363508820533752,3075.591,12.72876,-9.407026767730713,1.0113986
0.6693079471588135,1.0450261235237122,3128.528,0.0,-6.82099175453186,1.3033907
0.7615926265716553,0.891995757818222,3091.43,0.21533203,-7.049055576324463,1.4105685
0.7408944368362427,1.0986156463623047,3059.099,0.29663086,-7.1424946784973145,0.86808807
0.39903581142425537,0.9297687411308289,3113.18,11.412842,-9.867050170898438,1.1932833
0.7675608992576599,0.7802937924861908,3013.868,0.16259766,-7.889055490493774,1.2008517
0.40298768877983093,1.0030945539474487,2890.209,3.5214844,-10.442690372467041,0.58244354
0.733392596244812,1.0411495566368103,3099.607,0.0,-7.535732746124268,1.2233126
0.850359320640564,0.8191393613815308,3020.946,0.23657227,-8.495360374450684,0.60832244
0.48411986231803894,0.5902166962623596,2592.921,0.42504883,-8.843788146972656,1.2460177
0.2958670109510422,0.9393416047096252,3058.285,10.1154785,-8.716535091400146,1.2284396
0.6783369183540344,1.0330538749694824,3099.721,0.095703125,-7.27270245552063,1.2565157
0.2342667430639267,0.8668955266475677,3062.9,7.8081055,-8.041929721832275,1.1385958
0.2417425960302353,0.9597021043300629,3130.482,4.5236816,-8.11442756652832,1.2884982
0.2660578712821007,0.6719555258750916,2939.089,15.912598,-8.705548763275146,1.1385958
0.31493671238422394,0.7961748242378235,3006.204,7.017578,-10.728612422943115,1.2245333
0.6683230400085449,0.732730507850647,3039.315,0.0,-8.8384370803833,0.71647674
0.7514444589614868,0.8854644000530243,3017.694,0.0,-8.272650718688965,1.1786349
0.48230811953544617,0.849990963935852,2993.498,3.605713,-7.967826843261719,1.2814181
0.6276599168777466,1.0305947661399841,3039.028,0.0,-8.058472156524658,0.79948455
0.6542628109455109,0.8442595303058624,3045.754,0.2409668,-7.972995042800903,1.2728732
0.27562205493450165,0.9718784987926483,3115.858,0.1538086,-6.9341747760772705,1.4471896
0.3179503083229065,0.9133546352386475,3095.844,4.4143066,-9.639200210571289,1.2115939
0.2428319901227951,0.9743576645851135,3103.156,11.635498,-10.227025985717773,1.1014864
0.684576541185379,0.7458744943141937,3019.134,0.125,-8.253329277038574,0.73698455
0.7823466658592224,1.0269652605056763,3099.827,0.0,-6.540003299713135,1.406174
0.6035457402467728,0.8998574316501617,3047.868,0.21899414,-8.757974624633789,0.7709201
0.5581286549568176,1.1170406937599182,3096.7,0.21899414,-7.515744924545288,1.1329806
0.4646260589361191,0.9437688887119293,3095.299,0.092285156,-7.314927577972412,1.3497775
0.49345801770687103,0.8287441432476044,2991.398,1.9135742,-7.572465658187866,1.3793185
0.23087917268276215,0.5037616193294525,2882.105,16.110107,-8.160392761230469,1.0616915
0.5349564850330353,0.9470452964305878,3111.258,0.0,-7.405324935913086,1.2355196
0.5897321701049805,0.8812782466411591,3021.832,0.13208008,-7.76134467124939,1.1559298
0.6178607046604156,0.906096875667572,3015.799,0.0,-8.156739234924316,0.8248752
0.623992532491684,0.9797311127185822,3121.016,0.07397461,-6.893230199813843,1.3094943
0.5901584923267365,1.1960205435752869,3011.553,0.0,-8.228851795196533,1.3085177
0.8180245161056519,0.6645461022853851,3035.199,0.0,-7.273778438568115,1.3685763
