blue,green,red,nir,label
0.5948,0.4274,0.6514,0.6841,1
0.1088,0.1296,0.158,0.2639,0
0.7735,0.5578,0.8296,0.7552,1
0.1581,0.1793,0.2152,0.27,0
0.5916,0.4253,0.6499,0.6401,1
0.0852,0.0972,0.1186,0.1761,0
0.6536,0.475,0.7235,0.544,1
0.6563,0.4742,0.7248,0.7239,1
0.0586,0.0704,0.087,0.1983,0
0.3164,0.3393,0.3771,0.385,0
0.6272,0.4663,0.6692,0.4505,1
0.3043,0.3244,0.3522,0.3733,0
0.7868,0.5715,0.8766,0.7227,1
0.098,0.1087,0.1295,0.2181,0
0.1017,0.112,0.1398,0.2159,0
0.0837,0.109,0.1348,0.2582,0
0.1515,0.1702,0.2024,0.2635,0
0.6405,0.464,0.6952,0.6841,1
0.1337,0.1545,0.1779,0.2391,0
0.594,0.427,0.6512,0.6454,1
0.637,0.4615,0.6993,0.6169,1
0.122,0.1354,0.1625,0.2447,0
0.045,0.054,0.0706,0.1429,0
0.6499,0.4698,0.7179,0.7643,1
0.1474,0.1613,0.1931,0.2425,0
0.6583,0.4774,0.7291,0.7312,1
0.6521,0.4723,0.7206,0.6715,1
0.6526,0.4733,0.725,0.7833,1
0.5931,0.4265,0.6529,0.6561,1
0.1227,0.1394,0.1673,0.2606,0
0.597,0.4274,0.6486,0.634,1
0.2796,0.2986,0.3274,0.3537,0
0.1188,0.133,0.1556,0.2393,0
0.0618,0.0801,0.0975,0.2427,0
0.5934,0.4265,0.6506,0.6614,1
0.5175,0.4574,0.5379,0.473,1
0.6506,0.474,0.7193,0.7713,1
0.5943,0.4271,0.6497,0.6995,1
0.3283,0.3589,0.4068,0.4484,0
0.0825,0.0904,0.1083,0.189,0
0.6508,0.4744,0.7234,0.7728,1
0.0557,0.0712,0.0863,0.1875,0
0.1288,0.1448,0.1697,0.2673,0
0.6486,0.4718,0.7171,0.7601,1
0.1242,0.1481,0.1803,0.2312,0
0.0784,0.0912,0.1124,0.2175,0
0.6589,0.477,0.7268,0.7274,1
0.5987,0.4294,0.6493,0.6942,1
0.1844,0.1979,0.2311,0.3145,0
0.0473,0.0567,0.0716,0.145,0
0.6244,0.4494,0.6827,0.7281,1
0.359,0.3811,0.4279,0.4594,0
0.1365,0.16,0.1876,0.2461,0
0.6562,0.4743,0.7259,0.7668,1
0.6568,0.4793,0.7288,0.7761,1
0.6506,0.4725,0.7193,0.7627,1
0.0519,0.0622,0.0772,0.1484,0
0.5954,0.4259,0.6508,0.6412,1
0.5933,0.4265,0.6505,0.6692,1
0.2246,0.2319,0.2643,0.2985,0
0.7884,0.5715,0.8781,0.7412,1
0.1474,0.1586,0.1917,0.2499,0
0.1303,0.151,0.1797,0.242,0
0.1379,0.1601,0.1876,0.2563,0
0.1473,0.1629,0.1895,0.2429,0
0.1517,0.1708,0.2081,0.2614,0
0.1469,0.1669,0.1945,0.2524,0
0.0691,0.0848,0.1077,0.1982,0
0.6453,0.4698,0.7159,0.6487,1
0.7459,0.5575,0.816,0.7196,1
0.3199,0.3409,0.3758,0.3875,0
0.0876,0.1018,0.1204,0.2235,0
0.5951,0.4277,0.6534,0.725,1
0.0582,0.0694,0.0894,0.1705,0
0.5935,0.4267,0.6514,0.7298,1
0.1364,0.1478,0.1735,0.2572,0
0.4618,0.4449,0.4795,0.4269,1
0.1722,0.1876,0.2225,0.2725,0
0.0552,0.0649,0.082,0.1697,0
0.0389,0.0514,0.0648,0.2,0
0.0903,0.1111,0.1397,0.2338,0
0.6521,0.4738,0.7203,0.7384,1
0.0456,0.0589,0.0762,0.1738,0
0.2921,0.3137,0.3376,0.3608,0
0.2433,0.268,0.2988,0.3264,0
0.1205,0.1412,0.1689,0.2369,0
0.4386,0.4373,0.4593,0.4113,1
0.1362,0.147,0.1744,0.2863,0
0.0579,0.0699,0.0872,0.1889,0
0.3297,0.3587,0.4038,0.4538,0
0.5926,0.4259,0.6485,0.393,1
0.3552,0.3529,0.3684,0.3436,1
0.1441,0.1602,0.1979,0.2189,0
0.0549,0.0641,0.0807,0.1601,0
0.6563,0.4779,0.7266,0.773,1
0.6491,0.4711,0.7204,0.7531,1
0.1821,0.2095,0.2402,0.2807,0
0.0476,0.0562,0.0722,0.1549,0
0.6226,0.4501,0.6831,0.6642,1
0.7873,0.5725,0.8785,0.7503,1
0.7834,0.5699,0.8727,0.7427,1
0.1107,0.1335,0.1579,0.2749,0
0.1297,0.15,0.1784,0.2347,0
0.2718,0.2913,0.3204,0.3386,0
0.5934,0.4269,0.6506,0.6946,1
0.2473,0.2666,0.2988,0.3361,0
0.6559,0.4761,0.7239,0.7391,1
0.655,0.4738,0.7222,0.594,1
0.2442,0.2594,0.2839,0.313,0
0.0495,0.0624,0.0784,0.1653,0
0.1693,0.1856,0.2182,0.2394,0
0.1603,0.1729,0.1964,0.294,0
0.632,0.4577,0.6977,0.6178,1
0.0948,0.1056,0.1291,0.1959,0
0.0821,0.0985,0.1171,0.232,0
0.1163,0.1264,0.151,0.2345,0
0.1472,0.1609,0.184,0.1924,0
0.2232,0.2411,0.2665,0.3065,0
0.129,0.1505,0.1853,0.2546,0
0.6246,0.4471,0.6831,0.7383,1
0.5965,0.4317,0.6554,0.4389,1
0.0428,0.0547,0.0671,0.1681,0
0.6458,0.4698,0.7174,0.7468,1
0.1727,0.1927,0.2302,0.2707,0
0.6507,0.4751,0.7241,0.6231,1
0.6516,0.4722,0.7221,0.7813,1
0.1743,0.1919,0.2299,0.2675,0
0.1132,0.1267,0.1516,0.2296,0
0.0825,0.0969,0.1135,0.207,0
0.6329,0.4589,0.6991,0.629,1
0.3001,0.3251,0.3697,0.3883,0
0.0325,0.0468,0.0588,0.1324,0
0.194,0.2126,0.252,0.2828,0
0.0536,0.0668,0.0863,0.1765,0
0.6521,0.4721,0.7215,0.7393,1
0.2647,0.2857,0.3186,0.3375,0
0.5941,0.4269,0.6511,0.6692,1
0.593,0.4294,0.6522,0.6974,1
0.6314,0.4479,0.6781,0.6583,1
0.2345,0.258,0.3028,0.3266,0
0.1326,0.1593,0.1737,0.2848,0
0.1248,0.1396,0.1644,0.2206,0
0.6054,0.4258,0.6426,0.5079,1
0.6531,0.4743,0.7224,0.7877,1
0.1536,0.1701,0.2075,0.2982,0
0.1279,0.1405,0.1691,0.24,0
0.6523,0.4756,0.7245,0.7242,1
0.0488,0.0569,0.0703,0.1007,0
0.1119,0.1293,0.1495,0.248,0
0.6525,0.4732,0.7208,0.54,1
0.1217,0.1399,0.167,0.2498,0
0.0514,0.0622,0.0791,0.1757,0
0.6207,0.4472,0.6777,0.737,1
0.1181,0.136,0.1692,0.2374,0
0.0712,0.0821,0.1038,0.2111,0
0.265,0.2785,0.3079,0.3255,0
0.6532,0.4732,0.7235,0.751,1
0.0467,0.0563,0.073,0.1713,0
0.5919,0.4247,0.6485,0.6619,1
0.0554,0.0663,0.0809,0.1548,0
0.5982,0.4292,0.6517,0.7098,1
0.5942,0.426,0.6504,0.7123,1
0.1261,0.1458,0.172,0.2349,0
0.6327,0.4578,0.6965,0.6024,1
0.0502,0.062,0.0785,0.1725,0
0.177,0.202,0.2385,0.3214,0
0.131,0.1462,0.1709,0.2731,0
0.7844,0.5763,0.8717,0.7306,1
0.5949,0.4285,0.6507,0.7236,1
0.0592,0.0675,0.0833,0.1577,0
0.1851,0.2094,0.2362,0.291,0
0.0924,0.1129,0.1369,0.2182,0
0.1508,0.1673,0.1897,0.2493,0
0.6368,0.4574,0.6875,0.6479,1
0.0504,0.0596,0.07,0.1645,0
0.0606,0.0843,0.1053,0.2279,0
0.0707,0.0811,0.0972,0.1821,0
0.5936,0.4263,0.652,0.6054,1
0.6235,0.4488,0.6805,0.7474,1
0.1506,0.1658,0.1954,0.2396,0
0.0635,0.0799,0.0984,0.1888,0
0.0557,0.0699,0.0838,0.1892,0
0.2793,0.3014,0.325,0.3501,0
0.6209,0.4447,0.6748,0.7104,1
0.6568,0.4756,0.7251,0.7432,1
0.0471,0.0579,0.0683,0.1515,0
0.0625,0.0736,0.0913,0.1711,0
0.5964,0.4293,0.649,0.7247,1
0.6385,0.4547,0.6857,0.6388,1
0.0509,0.0604,0.0764,0.1597,0
0.6538,0.4736,0.7238,0.7716,1
0.6581,0.4762,0.7276,0.5839,1
0.7856,0.5699,0.8796,0.7872,1
0.6311,0.4579,0.6954,0.5724,1
0.597,0.4301,0.6531,0.6683,1
0.6353,0.4587,0.6955,0.6419,1
0.6384,0.4584,0.6904,0.6945,1
0.2405,0.2644,0.291,0.3125,0
0.0439,0.0581,0.0725,0.158,0
0.3343,0.3592,0.4051,0.4497,0
0.152,0.1723,0.2063,0.2434,0
0.6357,0.4593,0.6978,0.5896,1
0.0511,0.0618,0.0777,0.169,0
0.1141,0.1373,0.1612,0.2617,0
0.2032,0.2254,0.266,0.3183,0
0.1612,0.1714,0.1953,0.2079,0
0.6248,0.4493,0.6827,0.6921,1
0.1508,0.1731,0.207,0.2602,0
0.2168,0.2393,0.2672,0.2995,0
0.6532,0.4732,0.7239,0.5186,1
0.7862,0.5724,0.88,0.7345,1
0.5942,0.4311,0.6537,0.7198,1
0.6305,0.4799,0.7091,0.6374,1
0.1186,0.1264,0.1478,0.2014,0
0.6517,0.4752,0.7217,0.7036,1
0.5928,0.4264,0.649,0.6358,1
0.6475,0.4707,0.7168,0.753,1
0.6569,0.4786,0.7295,0.7524,1
0.6336,0.4591,0.6868,0.6864,1
0.2012,0.2161,0.2458,0.3142,0
0.5929,0.4246,0.6476,0.6754,1
0.5969,0.4305,0.6527,0.6445,1
0.2036,0.2205,0.253,0.2854,0
0.6598,0.4771,0.7279,0.6921,1
0.5954,0.4274,0.6491,0.592,1
0.6482,0.4708,0.72,0.7281,1
0.6503,0.4727,0.7222,0.7264,1
