blue,green,red,nir,label
0.6499,0.4731,0.7221,0.5786,1
0.1025,0.1182,0.1379,0.2055,0
0.6319,0.4594,0.701,0.655,1
0.0514,0.0657,0.0822,0.1841,0
0.192,0.2132,0.2427,0.2808,0
0.6366,0.4601,0.6914,0.6954,1
0.6571,0.4784,0.7303,0.7382,1
0.236,0.2591,0.2868,0.3175,0
0.1998,0.215,0.2517,0.2826,0
0.595,0.4283,0.6506,0.6478,1
0.1276,0.1464,0.1773,0.245,0
0.5951,0.4277,0.6489,0.5629,1
0.5943,0.4284,0.6538,0.721,1
0.0496,0.0599,0.0767,0.1675,0
0.622,0.4489,0.6821,0.7462,1
0.1968,0.2178,0.2613,0.292,0
0.653,0.4729,0.7216,0.5568,1
0.1191,0.1366,0.1643,0.2526,0
0.1598,0.1782,0.2122,0.2523,0
0.0582,0.0695,0.0888,0.2135,0
0.3318,0.3562,0.4098,0.4506,0
0.6477,0.471,0.7162,0.7378,1
0.5933,0.4261,0.6505,0.679,1
0.5943,0.4302,0.6534,0.7648,1
0.1593,0.1696,0.1952,0.2997,0
0.0681,0.0846,0.1064,0.2009,0
0.6461,0.469,0.7165,0.643,1
0.1464,0.1635,0.1884,0.2714,0
0.1369,0.1545,0.1849,0.2405,0
0.0812,0.0988,0.1184,0.1982,0
0.6568,0.4753,0.7298,0.7632,1
0.6303,0.4569,0.6956,0.562,1
0.0523,0.0647,0.079,0.1481,0
0.044,0.057,0.0714,0.1605,0
0.2387,0.262,0.294,0.3051,0
0.1057,0.1213,0.1422,0.2354,0
0.1294,0.1558,0.1827,0.2482,0
0.1964,0.2145,0.2553,0.2818,0
0.6485,0.4697,0.7202,0.665,1
0.0488,0.0611,0.0754,0.1565,0
0.1277,0.1472,0.1754,0.2464,0
0.0542,0.0684,0.0874,0.1957,0
0.6505,0.4738,0.7198,0.6186,1
0.1103,0.1224,0.1495,0.2196,0
0.0623,0.0783,0.1017,0.192,0
0.6234,0.448,0.6812,0.5195,1
0.1676,0.1963,0.2227,0.2728,0
0.1301,0.1587,0.1845,0.2488,0
0.0646,0.0791,0.0998,0.1802,0
0.5935,0.4256,0.6492,0.6876,1
0.6543,0.4722,0.7228,0.7588,1
0.1606,0.1833,0.2211,0.2771,0
0.623,0.4492,0.6808,0.7305,1
0.5948,0.4294,0.6494,0.7156,1
0.158,0.1724,0.2012,0.2741,0
0.0474,0.0611,0.0724,0.1528,0
0.0438,0.0559,0.0696,0.1673,0
0.647,0.4701,0.7185,0.7058,1
0.6258,0.4493,0.6824,0.6409,1
0.0563,0.0712,0.0918,0.1778,0
0.5918,0.4254,0.6494,0.6899,1
0.5908,0.4267,0.6512,0.636,1
0.6194,0.4488,0.6791,0.6404,1
0.6237,0.449,0.6838,0.7405,1
0.0857,0.1029,0.1228,0.2395,0
0.1548,0.1752,0.2094,0.2683,0
0.0696,0.0864,0.1075,0.1991,0
0.6584,0.4752,0.7245,0.7735,1
0.1376,0.1552,0.1813,0.2735,0
0.1837,0.1934,0.2308,0.2839,0
0.1784,0.2002,0.2353,0.2851,0
0.6531,0.4744,0.7261,0.7644,1
0.0718,0.0845,0.1044,0.1886,0
0.112,0.135,0.1573,0.2408,0
0.7825,0.5699,0.8742,0.7559,1
0.1483,0.1636,0.1919,0.2488,0
0.0831,0.0979,0.1167,0.191,0
0.5933,0.4265,0.6492,0.6687,1
0.7862,0.5737,0.8698,0.7297,1
0.067,0.0821,0.0976,0.1881,0
0.1179,0.1365,0.1643,0.2285,0
0.1359,0.1733,0.2003,0.3028,0
0.6247,0.4485,0.68,0.709,1
0.6232,0.4476,0.6808,0.74,1
0.6202,0.4475,0.6776,0.5721,1
0.6529,0.4743,0.7211,0.7538,1
0.5982,0.4307,0.6561,0.7118,1
0.6147,0.4399,0.6681,0.5892,1
0.1147,0.139,0.1715,0.2527,0
0.6194,0.4458,0.6773,0.7167,1
0.5937,0.4285,0.6499,0.6533,1
0.1551,0.1756,0.2108,0.2659,0
0.0989,0.1141,0.1432,0.2358,0
0.593,0.4273,0.6545,0.7403,1
0.0964,0.1133,0.1305,0.2234,0
0.5949,0.4284,0.6507,0.6962,1
0.3218,0.3522,0.3941,0.4498,0
0.6557,0.474,0.7236,0.7644,1
0.2164,0.239,0.2845,0.2889,0
0.134,0.1526,0.1811,0.2377,0
0.1987,0.2215,0.2498,0.32,0
0.6511,0.4729,0.7215,0.7571,1
0.0495,0.0597,0.0738,0.1744,0
0.0663,0.0837,0.1066,0.2215,0
0.7552,0.5533,0.7891,0.7094,1
0.0952,0.1188,0.1467,0.2192,0
0.1452,0.1649,0.1917,0.2605,0
0.1352,0.1491,0.1799,0.2538,0
0.6556,0.4743,0.7272,0.7648,1
0.5964,0.4285,0.6538,0.7084,1
0.1238,0.1323,0.1459,0.1659,0
0.6539,0.4727,0.7235,0.6539,1
0.1289,0.1438,0.1739,0.2456,0
0.2721,0.2994,0.3291,0.361,0
0.0461,0.0605,0.0742,0.176,0
0.0569,0.0701,0.0873,0.2594,0
0.6555,0.4778,0.7297,0.746,1
0.062,0.0702,0.0841,0.173,0
0.0984,0.1213,0.1461,0.2053,0
0.07,0.0813,0.1021,0.1961,0
0.0437,0.0556,0.07,0.173,0
0.1928,0.2137,0.241,0.2999,0
0.0882,0.0983,0.1136,0.1343,0
0.266,0.2902,0.3168,0.3503,0
0.1889,0.2001,0.2308,0.3207,0
0.5956,0.4298,0.6508,0.7588,1
0.7883,0.573,0.8721,0.7008,1
0.7851,0.5725,0.8718,0.7369,1
0.0803,0.0966,0.1219,0.2102,0
0.6554,0.4749,0.7251,0.6991,1
0.6551,0.4753,0.7234,0.6045,1
0.6293,0.4526,0.6815,0.5833,1
0.1139,0.1239,0.1488,0.241,0
0.1728,0.1851,0.2182,0.2548,0
0.1743,0.1943,0.221,0.2719,0
0.0951,0.1177,0.1399,0.2544,0
0.119,0.1347,0.1559,0.2399,0
0.113,0.1342,0.1617,0.2533,0
0.6274,0.4507,0.6837,0.7077,1
0.0525,0.0667,0.0878,0.1684,0
0.3261,0.3544,0.3912,0.4256,0
0.6266,0.4481,0.6783,0.6967,1
0.1467,0.1724,0.2209,0.2584,0
0.267,0.2898,0.3178,0.3524,0
0.6515,0.4731,0.7234,0.7673,1
0.075,0.0891,0.1069,0.2052,0
0.0484,0.0608,0.0754,0.1597,0
0.6186,0.4464,0.6774,0.6928,1
0.0812,0.0952,0.1169,0.1751,0
0.1264,0.1472,0.1814,0.2716,0
0.1593,0.1827,0.2046,0.2695,0
0.6582,0.4779,0.7293,0.7762,1
0.6213,0.4491,0.6816,0.7441,1
0.6211,0.4464,0.6811,0.7195,1
0.1391,0.1585,0.1903,0.2424,0
0.6239,0.4469,0.6816,0.6953,1
0.1524,0.1694,0.1984,0.2467,0
0.0454,0.0568,0.0725,0.1482,0
0.5924,0.4263,0.6511,0.6107,1
0.0958,0.1172,0.1365,0.2102,0
0.1355,0.1578,0.1845,0.2892,0
0.1946,0.2174,0.2545,0.2845,0
0.0587,0.0691,0.0895,0.1792,0
0.1491,0.1605,0.1868,0.2555,0
0.0817,0.1019,0.1215,0.2329,0
0.6511,0.472,0.7204,0.7647,1
0.258,0.282,0.3153,0.3416,0
0.6524,0.4737,0.7234,0.5672,1
0.2808,0.303,0.3298,0.3485,0
0.101,0.1205,0.1448,0.245,0
0.627,0.4482,0.6818,0.6236,1
0.6523,0.475,0.7232,0.6365,1
0.5924,0.4256,0.6488,0.6746,1
0.0433,0.0556,0.0698,0.1663,0
0.0626,0.0754,0.0946,0.2042,0
0.2589,0.2789,0.3062,0.329,0
0.6525,0.4744,0.7223,0.7882,1
0.5931,0.4257,0.6503,0.6791,1
0.654,0.4732,0.7228,0.7112,1
0.1587,0.1715,0.2056,0.2888,0
0.6219,0.4491,0.678,0.7337,1
0.1663,0.1743,0.1875,0.19,0
0.5923,0.4262,0.6494,0.6175,1
0.6614,0.4794,0.7291,0.7626,1
0.0935,0.1061,0.1302,0.2082,0
0.0903,0.1151,0.1414,0.2527,0
0.22,0.2481,0.2974,0.3326,0
0.295,0.3184,0.3581,0.3713,0
0.0949,0.1135,0.1365,0.21,0
0.6585,0.478,0.7276,0.7593,1
0.0498,0.0604,0.0733,0.1694,0
0.1931,0.2174,0.2645,0.2783,0
0.5934,0.4275,0.6512,0.6386,1
0.1587,0.1838,0.2204,0.2579,0
0.6529,0.4721,0.7217,0.7615,1
0.7876,0.5733,0.8794,0.7746,1
0.1418,0.1607,0.1892,0.2406,0
0.1245,0.1411,0.1689,0.2692,0
0.075,0.0941,0.1097,0.2146,0
0.6533,0.4756,0.7253,0.7818,1
0.6592,0.4768,0.7287,0.7601,1
0.5904,0.4266,0.6479,0.6811,1
0.5936,0.4267,0.649,0.6642,1
0.3263,0.3547,0.3926,0.4434,0
0.6582,0.4806,0.7301,0.7211,1
0.2861,0.3089,0.3416,0.3561,0
0.0938,0.1121,0.128,0.2376,0
0.5934,0.4288,0.6544,0.7087,1
0.629,0.455,0.686,0.6211,1
0.6526,0.4748,0.7227,0.6845,1
0.6557,0.4725,0.7206,0.6949,1
0.1039,0.1217,0.1394,0.2377,0
0.1895,0.2132,0.2524,0.2932,0
0.6257,0.4484,0.6835,0.7099,1
0.1751,0.1886,0.22,0.2684,0
0.5963,0.4294,0.6523,0.7197,1
0.1607,0.1778,0.2063,0.2801,0
0.5922,0.4265,0.6514,0.6042,1
0.1326,0.155,0.1831,0.261,0
0.0542,0.0653,0.0864,0.173,0
0.0506,0.0615,0.0746,0.1685,0
0.1245,0.1408,0.1723,0.238,0
0.0865,0.1023,0.1238,0.1926,0
0.3337,0.3563,0.3991,0.4402,0
0.0534,0.0643,0.0796,0.1704,0
0.6248,0.4483,0.6803,0.7381,1
0.6591,0.4776,0.7273,0.6926,1
0.6224,0.4484,0.6797,0.7334,1
0.5964,0.4266,0.6521,0.6755,1
0.1977,0.2204,0.2575,0.2899,0
0.1736,0.2037,0.243,0.2894,0
0.5925,0.4265,0.6505,0.6156,1
0.1663,0.1918,0.2316,0.2726,0
0.6547,0.4744,0.7235,0.7783,1
0.5933,0.4262,0.6525,0.6185,1
0.1327,0.1546,0.1859,0.269,0
0.1566,0.174,0.2034,0.2516,0
0.1833,0.21,0.2541,0.2918,0
0.6544,0.4752,0.7252,0.7138,1
0.0378,0.0507,0.0657,0.1885,0
0.6195,0.4478,0.6785,0.6682,1
0.5937,0.4277,0.6495,0.6607,1
0.2537,0.2596,0.295,0.3188,0
0.1126,0.1288,0.1505,0.2116,0
0.6245,0.4468,0.6786,0.3382,1
0.188,0.2044,0.2478,0.2641,0
0.6524,0.4719,0.7218,0.7488,1
0.6245,0.4489,0.6815,0.7185,1
0.6351,0.459,0.6887,0.7206,1
0.0535,0.0652,0.0823,0.1865,0
0.7644,0.5589,0.8128,0.7217,1
0.6549,0.4754,0.7222,0.6401,1
0.0459,0.059,0.0751,0.1663,0
0.0624,0.0721,0.0899,0.1853,0
0.625,0.4469,0.68,0.4745,1
0.6214,0.4494,0.6807,0.7146,1
0.5927,0.4262,0.6512,0.6622,1
0.7863,0.5747,0.8684,0.69,1
0.5941,0.4263,0.6502,0.6964,1
0.1266,0.149,0.1855,0.2608,0
0.5934,0.4283,0.653,0.7061,1
0.0945,0.1045,0.1342,0.1926,0
0.3392,0.3636,0.4093,0.4422,0
0.0627,0.0725,0.0891,0.1629,0
0.649,0.4703,0.7164,0.6436,1
0.634,0.4573,0.6769,0.6458,1
0.1442,0.1686,0.202,0.2741,0
0.0615,0.0734,0.0903,0.1895,0
0.2071,0.2253,0.2592,0.2936,0
0.6536,0.4739,0.7226,0.7299,1
0.6518,0.4746,0.721,0.6168,1
0.2598,0.2683,0.3016,0.3315,0
0.0466,0.0592,0.0771,0.1591,0
0.6499,0.4689,0.7192,0.76,1
0.156,0.1606,0.1734,0.1934,0
0.2014,0.2184,0.2407,0.2706,0
0.5964,0.4306,0.6516,0.5019,1
0.7846,0.5722,0.8769,0.7372,1
0.2008,0.222,0.2549,0.2958,0
0.14,0.1602,0.1914,0.2419,0
0.6525,0.4719,0.7208,0.7618,1
0.1399,0.1539,0.1823,0.2508,0
0.1532,0.1649,0.1982,0.2551,0
0.0546,0.0667,0.0812,0.1369,0
0.0636,0.0786,0.0983,0.1956,0
0.6577,0.4781,0.7279,0.7322,1
0.1112,0.13,0.1613,0.2368,0
0.5979,0.4307,0.6527,0.7231,1
0.6552,0.4763,0.7266,0.771,1
0.225,0.2525,0.2912,0.3102,0
0.6511,0.4725,0.7218,0.7135,1
0.1672,0.1837,0.2161,0.2599,0
0.2933,0.3132,0.3449,0.3717,0
0.592,0.4271,0.6508,0.7019,1
0.786,0.5741,0.877,0.7245,1
0.0851,0.1092,0.1318,0.241,0
0.1592,0.1726,0.1979,0.2425,0
0.2251,0.2459,0.2776,0.3143,0
0.0852,0.0994,0.1218,0.1935,0
0.0747,0.0906,0.1097,0.1966,0
0.5938,0.4254,0.6496,0.5627,1
0.6198,0.4485,0.6796,0.7052,1
0.4646,0.449,0.4808,0.4318,1
0.5931,0.4281,0.6522,0.6451,1
0.0594,0.0683,0.0875,0.1651,0
0.6486,0.4698,0.7223,0.6551,1
0.0518,0.0615,0.0784,0.1724,0
0.1209,0.1424,0.1733,0.2543,0
0.5914,0.4253,0.6487,0.6387,1
0.1685,0.1881,0.2151,0.2329,0
0.273,0.2955,0.3259,0.3526,0
0.5931,0.4265,0.6513,0.6189,1
0.1658,0.1926,0.2148,0.2824,0
0.6349,0.4586,0.6962,0.6007,1
0.5917,0.4269,0.6502,0.6529,1
0.1386,0.1636,0.1853,0.2331,0
0.076,0.0941,0.113,0.2258,0
0.5983,0.4307,0.6544,0.6133,1
0.649,0.4731,0.7213,0.5711,1
0.0775,0.0949,0.1155,0.2131,0
0.5947,0.4294,0.6555,0.726,1
0.0642,0.08,0.1009,0.1805,0
0.1061,0.1182,0.146,0.2186,0
0.6581,0.4784,0.7269,0.7615,1
0.0731,0.0907,0.109,0.2056,0
0.6213,0.4493,0.6825,0.5626,1
0.2116,0.2335,0.2666,0.2878,0
0.653,0.4725,0.7205,0.673,1
0.1182,0.1415,0.1675,0.2262,0
0.1192,0.1402,0.1655,0.2299,0
0.6565,0.4751,0.7262,0.7598,1
0.0538,0.0669,0.0845,0.2119,0
0.1593,0.174,0.2077,0.2696,0
0.0968,0.1158,0.1376,0.2513,0
0.6577,0.4752,0.7255,0.713,1
0.0608,0.0727,0.09,0.1858,0
0.0768,0.0913,0.1129,0.205,0
0.056,0.0696,0.0837,0.1998,0
0.6303,0.4553,0.6821,0.6732,1
0.6268,0.4523,0.6827,0.6329,1
0.5934,0.4278,0.6511,0.7044,1
0.6608,0.4792,0.7294,0.715,1
0.6576,0.4784,0.7283,0.7112,1
0.1603,0.1795,0.2126,0.2671,0
0.6401,0.5036,0.6947,0.5611,1
0.0506,0.0635,0.0772,0.2024,0
0.2563,0.2828,0.3086,0.3373,0
0.5959,0.4287,0.6508,0.7314,1
0.1611,0.1747,0.1976,0.2428,0
0.6326,0.4563,0.6853,0.7173,1
0.048,0.0649,0.0813,0.1967,0
0.0451,0.0601,0.0749,0.213,0
0.4525,0.435,0.4733,0.4623,1
0.0615,0.0707,0.0871,0.1714,0
0.1437,0.1608,0.1894,0.2349,0
0.2984,0.3267,0.3775,0.4133,0
0.3199,0.3435,0.3896,0.4229,0
0.0583,0.072,0.0859,0.1692,0
0.1692,0.1807,0.2054,0.2234,0
0.0907,0.1051,0.1357,0.2141,0
0.597,0.4273,0.6526,0.7081,1
0.1189,0.1296,0.1517,0.2304,0
0.5958,0.4263,0.6507,0.6762,1
0.1617,0.1785,0.2149,0.2829,0
0.4473,0.44,0.4664,0.4237,1
0.1272,0.1488,0.1794,0.2558,0
0.1142,0.1317,0.1565,0.2184,0
0.1675,0.1888,0.2223,0.2735,0
0.144,0.1577,0.1923,0.2498,0
0.5939,0.4295,0.653,0.7031,1
0.6397,0.4589,0.6864,0.6473,1
0.6606,0.4757,0.7262,0.7392,1
0.7787,0.5673,0.8701,0.746,1
0.6538,0.4716,0.7211,0.6638,1
0.123,0.1352,0.1595,0.2219,0
0.0554,0.0676,0.0845,0.1921,0
0.653,0.4752,0.7245,0.7657,1
0.1058,0.112,0.1356,0.2176,0
0.2751,0.2982,0.3321,0.4119,0
0.1497,0.166,0.1977,0.2669,0
0.1403,0.1557,0.1875,0.2605,0
0.098,0.1106,0.1159,0.145,0
0.1007,0.1196,0.1425,0.2548,0
0.0523,0.0668,0.0839,0.137,0
0.6555,0.4765,0.7276,0.761,1
0.7702,0.5707,0.8378,0.7245,1
0.6479,0.4689,0.7165,0.7626,1
0.0935,0.114,0.1349,0.2325,0
0.0841,0.0935,0.1157,0.2133,0
0.65,0.4719,0.7202,0.673,1
0.072,0.0819,0.1011,0.1939,0
0.1363,0.1529,0.1839,0.2609,0
0.6614,0.4803,0.7312,0.7667,1
0.6369,0.4611,0.6902,0.7009,1
0.2383,0.232,0.2563,0.3355,0
0.3169,0.343,0.3856,0.4405,0
0.0467,0.0595,0.0739,0.1939,0
0.2209,0.2414,0.2762,0.2982,0
0.5939,0.4274,0.6493,0.678,1
0.6572,0.4769,0.7258,0.7662,1
0.7895,0.5729,0.8779,0.7188,1
0.0676,0.0784,0.0956,0.1641,0
0.2617,0.2731,0.3206,0.3339,0
0.1682,0.181,0.2032,0.2587,0
0.649,0.4716,0.7175,0.7613,1
0.7663,0.5729,0.8178,0.6886,1
0.0542,0.0656,0.0845,0.198,0
0.1025,0.1173,0.1434,0.2123,0
0.1038,0.1187,0.1411,0.2383,0
0.1635,0.1822,0.2056,0.2543,0
0.1724,0.2009,0.2401,0.279,0
0.15,0.1564,0.1923,0.2913,0
0.161,0.1799,0.2136,0.2483,0
0.5946,0.4281,0.6533,0.6415,1
0.1472,0.1707,0.1976,0.2678,0
0.6209,0.4611,0.6945,0.6552,1
0.1457,0.1522,0.1684,0.2784,0
0.7715,0.5573,0.8262,0.7376,1
0.6476,0.4706,0.7145,0.7593,1
